source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
,-63.49333681,44.67662224,Forest Hills  Phase I,Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"20 Circassion Drive, Dartmouth, B2W 5C2, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.35002059,45.1409127,Riverview Villa,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"26 Dunrovin Avenue, Stewiacke, B0N 2J0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.67191929,45.55443138,Maple Crest I Phase 1,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"142 Maple Street (20), Stellarton, B0K 1S0, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.18499825,45.07270404,J.B. North Manor Kings,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"14043 Highway # 1, Hantsport, BOP 1PO, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.3949548,45.60807814,Scotia Heights Seniors Co,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"393 Murray Street, Mulgrave, B0E 2V0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.5290597,45.1325005,Centreville Place Kings,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"871 Murray Dr  Rr#2, Centreville, BOP 1J0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.47192894,46.89479684,408 Dingwall,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,,10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.71945314,45.56631965,Diamond Crest I,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1714 Porters Lane, Westville, BOK 2AO, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.38446006,44.45019785,Mahonne Manor Mahone Bay,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"35 Cherry Lane, Mahone Bay, B0J 2E0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.83855732,45.02814509,Pine Grove Kings,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1090 Sandy Court, Aylesford, BOP 1CO, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.17560204,46.12217065,George St,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1249 George St, Mira Road, 1N7, Canada",22,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.18233576,45.06778458,Jubilee Court  Hantsport,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"I6 Jubilee Lane, Hantsport, B0N 1P0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.18197523,46.16369564,250 James Street,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"250 James Street, Sydney, B1N 2T1, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-66.11366569,43.8276751,Fred Emin Manor,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3 Grantham Street, Yarmouth, B5A 1Z7, Canada",25,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.63649212,45.61856455,Park View Manor,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"2 Porter St., Trenton, B0K 1X0, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.19895495,46.11024986,Sydney Senior Duplexes - 57 Windsor St,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"57 Windsor St, Sydney, , Canada",2,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.25776775,45.37833646,Centennial House,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"46 Allison Avenue, Bible Hill, B2N 4L4, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
