source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-71.3450012,46.8289899,Coop. de solidarité Châtelois ,Co-operative Housing,,,,"8100 Boulevard de l'Ormière, Québec, QC G2C 0K5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_de_solidarite_chatelois.html,
,-71.2316830,46.8201990,Coop. Hab. Bons Amis Québec ,Co-operative Housing,,,,"95 Rue de la Pointe-aux-Lièvres, Québec, QC G1K 5Y6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_bons_amis_quebec.html,
,-71.2245750,46.8164648,Coop. Hab. De la Vigne ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_de_la_vigne.html,
,-71.2292875,46.8283689,Coop. Hab. Le Contemporain ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_le_contemporain.html,
,-71.2189781,46.8067428,Coop. Hab. Septième Ciel ,Co-operative Housing,,,,"550 Rue Jacques-Parizeau, Québec, QC G1R 2G1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_septieme_ciel.html,
,-71.2417110,46.8381322,Coop. sol. Rés. portneuvienne ,Co-operative Housing,,,,"2e Av, Québec, QC G1L, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_res_portneuvienne.html,
,-71.2725324,46.7915249,Coop. solidarité L'Étale ,Co-operative Housing,,,,"2127 Avenue Chapdelaine, Québec, QC G1V 1M8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solidarite_letale.html,
,-72.2709912,46.7559889,Coop. solidarité villa clocher ,Co-operative Housing,,,,"424 Boulevard Chabot, Saint-Ubalde, QC G0A 4L0, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solidarite_villa_clocher.html,
,-71.2867006,46.8162466,Coop.Hab. 4 Vents,Co-operative Housing,,,,"3359 Rue Paquin, Québec, QC G1M 2N1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_4_vents.html,
,-71.2257716,46.8266220,Coop.Hab. 8ème Rue,Co-operative Housing,,,,"545 8e Rue, Québec, QC G1J 2R1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_8eme_rue.html,
,-71.2292875,46.8283689,Coop.Hab. Accord ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_accord.html,
,-71.2204110,46.8081002,Coop.Hab. Accordéons-Nous ,Co-operative Housing,,,,"959 Rue Scott, Québec, QC G1R 3E1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_accordeons_nous.html,
,-71.2245750,46.8164648,Coop.Hab. Améthyste ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_amethyste.html,
,-71.2220816,46.8097929,Coop.Hab. Aquarelle de Québec ,Co-operative Housing,,,,"470 Rue D'Aiguillon, Québec, QC G1R 1M2, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_aquarelle_de_quebec.html,
